,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent gesture,Parent affective touch,Child prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
112,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,103.6
113,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,104.1
114,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,104.6
115,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,105.1
116,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,105.6
117,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,106.1
118,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,106.6
119,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,107.1
120,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,107.6
121,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,108.1
122,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,108.6
123,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,109.1
124,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,109.6
125,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,110.1
126,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,110.6
127,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,111.1
128,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,111.6
129,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,112.1
130,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,112.6
131,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,113.1
132,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,113.6
133,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,114.1
134,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,114.6
135,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,115.1
136,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,115.6
137,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,116.1
138,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,116.6
139,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,117.1
140,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,117.6
141,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,118.1
142,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,118.6
143,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,119.1
144,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,119.6
145,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,120.1
146,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,120.6
147,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,121.1
148,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,121.6
149,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,122.1
150,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,122.6
151,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,123.1
152,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,123.6
153,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,124.1
154,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,124.6
155,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,125.1
156,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,125.6
157,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,126.1
158,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,126.6
159,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,127.1
160,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,127.6
161,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,128.1
162,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,128.6
163,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,129.1
164,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,129.6
