,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,time
244,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,155.0
245,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,155.5
246,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,156.0
247,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,156.5
248,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,157.0
249,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,157.5
250,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,158.0
251,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,158.5
252,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,159.0
253,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,159.5
254,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,160.0
255,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,160.5
256,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,161.0
257,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,161.5
258,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,162.0
259,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,162.5
260,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,163.0
261,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,163.5
262,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,164.0
263,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,164.5
264,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,165.0
265,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,165.5
266,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,166.0
267,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,166.5
268,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,167.0
