,col base,action base,col count,action count,hist,bins
319,action,Child prop manipulation,action:sub_action,Joint attention:props,[3 4],[1 2 3]
320,action,Child prop manipulation,action:sub_action,Joint attention:robot,[7],[1 2]
321,action,Child prop manipulation,action:sub_action,Mutual gaze:MG,[],[1]
322,action,Child prop manipulation,action:sub_action,Non-verbal scaffolding:cognitive,[1],[1 2]
323,action,Child prop manipulation,action:sub_action,Non-verbal scaffolding:technical,[1],[1 2]
324,action,Child prop manipulation,action:sub_action,Parent affect:positive 1,[],[1]
325,action,Child prop manipulation,action:sub_action,Parent affect:positive 2,[1],[1 2]
326,action,Child prop manipulation,action:sub_action,Parent affective touch:affective touch,[],[1]
327,action,Child prop manipulation,action:sub_action,Parent gaze:child,[1],[1 2]
328,action,Child prop manipulation,action:sub_action,Parent gaze:missing data,[],[1]
329,action,Child prop manipulation,action:sub_action,Parent gaze:props,[4 2],[1 2 3]
330,action,Child prop manipulation,action:sub_action,Parent gaze:robot,[9],[1 2]
331,action,Child prop manipulation,action:sub_action,Parent gesture:point at prop,[1],[1 2]
332,action,Child prop manipulation,action:sub_action,Parent prop manipulation:parent,[1],[1 2]
333,action,Child prop manipulation,action:sub_action,Parent utterance:missing data,[1],[1 2]
334,action,Child prop manipulation,action:sub_action,Parent utterance:other vocalization,[1],[1 2]
335,action,Child prop manipulation,action:sub_action,Parent utterance:utterance,[7],[1 2]
336,action,Child prop manipulation,action:sub_action,Verbal scaffolding:affective,[2],[1 2]
337,action,Child prop manipulation,action:sub_action,Verbal scaffolding:cognitive,[1],[1 2]
338,action,Child prop manipulation,action:sub_action,Verbal scaffolding:technical,[],[1]
339,action,Child prop manipulation,action:sub_action,robot pointing:point at prop,[1],[1 2]
340,action,Child prop manipulation,action:sub_action,robot text:correction,[2],[1 2]
341,action,Child prop manipulation,action:sub_action,robot text:other,[],[1]
342,action,Child prop manipulation,action:sub_action,robot text:pick up,[4],[1 2]
343,action,Child prop manipulation,action:sub_action,robot text:positive feedback,[3],[1 2]
344,action,Child prop manipulation,action:sub_action,robot text:put down,[2],[1 2]
345,action,Child prop manipulation,action:sub_action,robot text:song,[],[1]
