,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent gesture,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,time
247,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,279.9
248,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,280.4
249,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,280.9
250,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,281.4
251,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,281.9
252,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,282.4
253,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,282.9
254,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,283.4
255,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,283.9
256,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,284.4
257,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,284.9
258,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,285.4
259,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,285.9
260,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,286.4
261,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,286.9
262,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,287.4
263,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,287.9
264,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,288.4
265,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,288.9
266,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,289.4
267,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,289.9
268,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,290.4
269,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,290.9
270,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,291.4
271,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,291.9
272,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,292.4
273,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,292.9
274,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,293.4
275,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,293.9
276,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,294.4
277,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,294.9
278,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,295.4
279,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,295.9
280,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,296.4
281,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,296.9
282,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,297.4
283,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,297.9
284,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,298.4
285,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,298.9
286,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,299.4
