,col base,action base,col count,action count,hist,bins
400,action,Conversational turns,action:sub_action,Non-verbal scaffolding:cognitive,[1],[1 2]
401,action,Conversational turns,action:sub_action,Non-verbal scaffolding:technical,[],[1]
402,action,Conversational turns,action:sub_action,Parent gaze:tablet,[1],[1 2]
403,action,Conversational turns,action:sub_action,Parent gesture:missing data,[1],[1 2]
404,action,Conversational turns,action:sub_action,Parent gesture:other,[1],[1 2]
405,action,Conversational turns,action:sub_action,Parent gesture:point at prop,[1],[1 2]
406,action,Conversational turns,action:sub_action,Parent prop manipulation:parent,[],[1]
407,action,Conversational turns,action:sub_action,Parent utterance:missing data,[1],[1 2]
408,action,Conversational turns,action:sub_action,Parent utterance:utterance,[1 2],[1 2 3]
409,action,Conversational turns,action:sub_action,Verbal scaffolding:affective,[],[1]
410,action,Conversational turns,action:sub_action,Verbal scaffolding:cognitive,[3],[1 2]
411,action,Conversational turns,action:sub_action,robot pointing:point at prop,[],[1]
412,action,Conversational turns,action:sub_action,robot text:correction,[],[1]
413,action,Conversational turns,action:sub_action,robot text:other,[],[1]
414,action,Conversational turns,action:sub_action,robot text:pick up,[1],[1 2]
415,action,Conversational turns,action:sub_action,robot text:positive feedback,[1],[1 2]
416,action,Conversational turns,action:sub_action,robot text:put down,[],[1]
417,action,Conversational turns,action:sub_action,robot text:song,[],[1]
418,action,Conversational turns,action:sub_action,robot text:teach,[],[1]
419,action,Conversational turns,action:sub_action,robot text:try again,[3],[1 2]
420,action,Joint attention,action,Child affect,[0 1],[1 2 3]
421,action,Joint attention,action,Child gaze,[3 3],[1 2 3]
422,action,Joint attention,action,Child gesture,[3],[1 2]
423,action,Joint attention,action,Child prop manipulation,[2],[1 2]
424,action,Joint attention,action,Child utterance,[2],[1 2]
425,action,Joint attention,action,Conversational turns,[],[1]
426,action,Joint attention,action,Non-verbal scaffolding,[],[1]
427,action,Joint attention,action,Parent gaze,[1],[1 2]
428,action,Joint attention,action,Parent gesture,[],[1]
429,action,Joint attention,action,Parent prop manipulation,[],[1]
430,action,Joint attention,action,Parent utterance,[6 1],[1 2 3]
431,action,Joint attention,action,Verbal scaffolding,[7],[1 2]
432,action,Joint attention,action,robot pointing,[2],[1 2]
433,action,Joint attention,action,robot text,[6],[1 2]
434,action,Joint attention,sub_action,CP,[],[1]
435,action,Joint attention,sub_action,CPC,[],[1]
436,action,Joint attention,sub_action,PC,[],[1]
437,action,Joint attention,sub_action,PCP,[],[1]
